# of Doc     Predicted Review     True Review
   1       |       neg       |       pos
   2       |       pos       |       pos
   3       |       pos       |       pos
   4       |       pos       |       pos
   5       |       neg       |       pos
   6       |       pos       |       pos
   7       |       pos       |       pos
   8       |       neg       |       pos
   9       |       pos       |       pos
   10       |       neg       |       pos
   11       |       pos       |       pos
   12       |       pos       |       pos
   13       |       pos       |       pos
   14       |       neg       |       pos
   15       |       pos       |       pos
   16       |       pos       |       pos
   17       |       neg       |       pos
   18       |       neg       |       pos
   19       |       pos       |       pos
   20       |       pos       |       pos
   21       |       pos       |       pos
   22       |       pos       |       pos
   23       |       pos       |       pos
   24       |       pos       |       pos
   25       |       pos       |       pos
   26       |       pos       |       pos
   27       |       neg       |       pos
   28       |       pos       |       pos
   29       |       pos       |       pos
   30       |       pos       |       pos
   31       |       neg       |       pos
   32       |       neg       |       pos
   33       |       pos       |       pos
   34       |       pos       |       pos
   35       |       pos       |       pos
   36       |       pos       |       pos
   37       |       pos       |       pos
   38       |       pos       |       pos
   39       |       pos       |       pos
   40       |       pos       |       pos
   41       |       pos       |       pos
   42       |       neg       |       pos
   43       |       pos       |       pos
   44       |       pos       |       pos
   45       |       pos       |       pos
   46       |       neg       |       pos
   47       |       pos       |       pos
   48       |       neg       |       pos
   49       |       pos       |       pos
   50       |       pos       |       pos
   51       |       pos       |       pos
   52       |       pos       |       pos
   53       |       neg       |       pos
   54       |       pos       |       pos
   55       |       neg       |       pos
   56       |       pos       |       pos
   57       |       pos       |       pos
   58       |       pos       |       pos
   59       |       pos       |       pos
   60       |       pos       |       pos
   61       |       pos       |       pos
   62       |       neg       |       pos
   63       |       pos       |       pos
   64       |       pos       |       pos
   65       |       pos       |       pos
   66       |       neg       |       pos
   67       |       pos       |       pos
   68       |       pos       |       pos
   69       |       pos       |       pos
   70       |       pos       |       pos
   71       |       pos       |       pos
   72       |       neg       |       pos
   73       |       pos       |       pos
   74       |       pos       |       pos
   75       |       pos       |       pos
   76       |       neg       |       pos
   77       |       pos       |       pos
   78       |       pos       |       pos
   79       |       pos       |       pos
   80       |       pos       |       pos
   81       |       pos       |       pos
   82       |       pos       |       pos
   83       |       pos       |       pos
   84       |       pos       |       pos
   85       |       neg       |       pos
   86       |       neg       |       pos
   87       |       pos       |       pos
   88       |       pos       |       pos
   89       |       pos       |       pos
   90       |       neg       |       pos
   91       |       neg       |       pos
   92       |       neg       |       pos
   93       |       pos       |       pos
   94       |       pos       |       pos
   95       |       pos       |       pos
   96       |       pos       |       pos
   97       |       pos       |       pos
   98       |       pos       |       pos
   99       |       pos       |       pos
   100       |       pos       |       pos
   101       |       neg       |       pos
   102       |       neg       |       pos
   103       |       neg       |       pos
   104       |       neg       |       pos
   105       |       pos       |       pos
   106       |       pos       |       pos
   107       |       neg       |       pos
   108       |       pos       |       pos
   109       |       pos       |       pos
   110       |       neg       |       pos
   111       |       pos       |       pos
   112       |       pos       |       pos
   113       |       neg       |       pos
   114       |       pos       |       pos
   115       |       pos       |       pos
   116       |       neg       |       pos
   117       |       neg       |       pos
   118       |       pos       |       pos
   119       |       pos       |       pos
   120       |       pos       |       pos
   121       |       neg       |       pos
   122       |       pos       |       pos
   123       |       neg       |       pos
   124       |       pos       |       pos
   125       |       pos       |       pos
   126       |       pos       |       pos
   127       |       neg       |       pos
   128       |       neg       |       pos
   129       |       pos       |       pos
   130       |       pos       |       pos
   131       |       pos       |       pos
   132       |       pos       |       pos
   133       |       neg       |       pos
   134       |       pos       |       pos
   135       |       neg       |       pos
   136       |       neg       |       pos
   137       |       neg       |       pos
   138       |       pos       |       pos
   139       |       neg       |       pos
   140       |       neg       |       pos
   141       |       pos       |       pos
   142       |       neg       |       pos
   143       |       pos       |       pos
   144       |       neg       |       pos
   145       |       pos       |       pos
   146       |       pos       |       pos
   147       |       pos       |       pos
   148       |       neg       |       pos
   149       |       pos       |       pos
   150       |       pos       |       pos
   151       |       pos       |       pos
   152       |       pos       |       pos
   153       |       pos       |       pos
   154       |       pos       |       pos
   155       |       pos       |       pos
   156       |       pos       |       pos
   157       |       pos       |       pos
   158       |       pos       |       pos
   159       |       neg       |       pos
